ssrcss-gfjuy9-Timestamp,visually-hidden,ssrcss-yjj6jm-LinkPostHeadline,ssrcss-61mhsj-MetadataText
08:03 21 March,"Man with terminal cancer leads fundraising walk, published at 08:03 21 March",Man with terminal cancer leads fundraising walk,West Yorkshire
07:05 21 March,"'Be yourself and follow your dreams' - life with Down's syndrome, published at 07:05 21 March",'Be yourself and follow your dreams' - life with Down's syndrome,Northern Ireland
06:14 21 March,"Woman neglected by council feared she would die, published at 06:14 21 March",Woman neglected by council feared she would die,London
06:10 21 March,"Mum 'just wants a better future for our SEND kids', published at 06:10 21 March",Mum 'just wants a better future for our SEND kids',Manchester
05:37 21 March,"Family faces second Send legal battle with council, published at 05:37 21 March",Family faces second Send legal battle with council,Norfolk
01:38 21 March,"'They're playing politics with my little boy': What Department of Education cuts mean for one mum, published at 01:38 21 March",'They're playing politics with my little boy': What Department of Education cuts mean for one mum,US & Canada
23:34 20 March,"Benefits changes 'being done over our heads', says Hanna, published at 23:34 20 March","Benefits changes 'being done over our heads', says Hanna",Northern Ireland Politics
17:28 20 March,"TikTok star 'overdosed in months before her death', published at 17:28 20 March",TikTok star 'overdosed in months before her death',Sussex
14:52 20 March,"Enhanced pathways 'way forward' for SEND services, published at 14:52 20 March",Enhanced pathways 'way forward' for SEND services,Oxfordshire
13:32 20 March,"Carer who stole £40k from vulnerable adults jailed, published at 13:32 20 March",Carer who stole £40k from vulnerable adults jailed,Birmingham & Black Country
06:02 20 March,"'My disabled son is a prisoner in his own home', published at 06:02 20 March",'My disabled son is a prisoner in his own home',Lincolnshire
05:24 20 March,"Poet starts venturing out after years of isolating, published at 05:24 20 March",Poet starts venturing out after years of isolating,Suffolk
18:30 19 March,"TikTok star assessed as 'high risk', inquest told, published at 18:30 19 March","TikTok star assessed as 'high risk', inquest told",Sussex
18:28 19 March,"Ministers struggle to quell MP concerns over benefit cuts, published at 18:28 19 March",Ministers struggle to quell MP concerns over benefit cuts,
15:19 19 March,"Fines for education failures approaching £1m, published at 15:19 19 March",Fines for education failures approaching £1m,Surrey
09:45 19 March,"Council cash keeps rail pedestrian crossing open, published at 09:45 19 March",Council cash keeps rail pedestrian crossing open,Dorset
06:27 19 March,"Braille sign unveiled at railway station, published at 06:27 19 March",Braille sign unveiled at railway station,England
06:26 19 March,"Cafe owner celebrates 'incredible' fundraising milestone, published at 06:26 19 March",Cafe owner celebrates 'incredible' fundraising milestone,Jersey
06:21 19 March,"'My son missed learning because of discrimination', published at 06:21 19 March",'My son missed learning because of discrimination',Sussex
06:18 19 March,"Blue badge fee 'tax on vulnerable' says campaigner, published at 06:18 19 March",Blue badge fee 'tax on vulnerable' says campaigner,Surrey
06:02 19 March,"Tickets for film about disabled surfer sell out in hours, published at 06:02 19 March",Tickets for film about disabled surfer sell out in hours,Tyne
16:12 18 March,"'Losing my benefits would be a travesty' , published at 16:12 18 March",'Losing my benefits would be a travesty',Wales
14:38 18 March,"Tube lifts closed almost twice as often in 2024, published at 14:38 18 March",Tube lifts closed almost twice as often in 2024,London
12:51 18 March,"Billy Monger sets sights on 2028 Paralympic Games, published at 12:51 18 March",Billy Monger sets sights on 2028 Paralympic Games,Surrey
09:28 18 March,"Bus pass policy change will benefit 13,000 people, published at 09:28 18 March","Bus pass policy change will benefit 13,000 people",England
08:31 18 March,"Visually impaired runner takes on London Marathon, published at 08:31 18 March",Visually impaired runner takes on London Marathon,North Yorkshire
06:53 18 March,"PSNI service will 'increase independence' for deaf community, published at 06:53 18 March",PSNI service will 'increase independence' for deaf community,Northern Ireland
06:26 18 March,"Project aiming to improve park access launched, published at 06:26 18 March",Project aiming to improve park access launched,England
06:17 18 March,"Support dog Rafa 'stops me falling' on walks, published at 06:17 18 March",Support dog Rafa 'stops me falling' on walks,Somerset
17:58 17 March,"TikTok star's death was 'avoidable', say family, published at 17:58 17 March","TikTok star's death was 'avoidable', say family",Sussex
07:42 17 March,"Mayor backs fire safety scheme for deaf people, published at 07:42 17 March",Mayor backs fire safety scheme for deaf people,Essex
06:27 17 March,"'Our aim is to tackle stigma and have fun', published at 06:27 17 March",'Our aim is to tackle stigma and have fun',Somerset
06:17 17 March,"Forty years celebrating disabled artists across UK, published at 06:17 17 March",Forty years celebrating disabled artists across UK,Liverpool
11:03 16 March,"New maps to inspire accessible forest walks, published at 11:03 16 March",New maps to inspire accessible forest walks,Gloucestershire
07:15 16 March,"Victorian museum opens 'calm space' for visitors, published at 07:15 16 March",Victorian museum opens 'calm space' for visitors,Shropshire
08:11 15 March,"Deaf actress brings sign language to Shakespeare. Video, 00:01:29, published at 08:11 15 March",Deaf actress brings sign language to Shakespeare,London
07:16 15 March,"The disability racers who 'love the thrill', published at 07:16 15 March",The disability racers who 'love the thrill',England
15:26 14 March,"Charity boss calls for early years investment, published at 15:26 14 March",Charity boss calls for early years investment,Berkshire
09:17 14 March,"SEN students face 'abyss' when they leave school, published at 09:17 14 March",SEN students face 'abyss' when they leave school,Northern Ireland
17:55 13 March,"'I don't feel safe with my son - it's not his fault', published at 17:55 13 March",'I don't feel safe with my son - it's not his fault',Northern Ireland
16:25 13 March,"Deafblind student adventurer picked to start race, published at 16:25 13 March",Deafblind student adventurer picked to start race,England
06:05 13 March,"Disability charity 'bouncing back' after break-in, published at 06:05 13 March",Disability charity 'bouncing back' after break-in,Hampshire & Isle of Wight
01:37 12 March,"'Worrying' number of teens lose disability benefits, published at 01:37 12 March",'Worrying' number of teens lose disability benefits,Disability
19:00 11 March,"First Minister's Questions from the Senedd: 11 March 2025, published at 19:00 11 March",First Minister's Questions from the Senedd: 11 March 2025,Wales
21:42 10 March,"Dragons' Den stars to help cosmetics entrepreneur, published at 21:42 10 March",Dragons' Den stars to help cosmetics entrepreneur,Bristol
06:21 10 March,"Parents 'really worried' over SEND transport plans, published at 06:21 10 March",Parents 'really worried' over SEND transport plans,South Yorkshire
06:04 10 March,"Award-winning mini horse brings joy to care home, published at 06:04 10 March",Award-winning mini horse brings joy to care home,Dorset
05:57 10 March,"Thanet SEND centre launches fundraiser to expand, published at 05:57 10 March",Thanet SEND centre launches fundraiser to expand,Kent
13:32 9 March,"College for training farmers gets refurbishment, published at 13:32 9 March",College for training farmers gets refurbishment,England
08:50 9 March,"Plans to build Send school are backed by £20m fund, published at 08:50 9 March",Plans to build Send school are backed by £20m fund,Gloucestershire
08:42 9 March,"City schools to get new special provision places, published at 08:42 9 March",City schools to get new special provision places,Leicestershire
08:10 9 March,"Children with special needs education in 'crisis', published at 08:10 9 March",Children with special needs education in 'crisis',Cumbria
07:28 9 March,"'I prepare for hours as a sign language performer', published at 07:28 9 March",'I prepare for hours as a sign language performer',England
06:36 9 March,"The Talking Newspapers that need more listeners, published at 06:36 9 March",The Talking Newspapers that need more listeners,Northern Ireland
11:02 8 March,"Disability partnership hit by cash dispute, published at 11:02 8 March",Disability partnership hit by cash dispute,Cambridgeshire
08:36 8 March,"Sports event 'celebrates strong female veterans', published at 08:36 8 March",Sports event 'celebrates strong female veterans',UK
07:39 8 March,"'I adapt clothes for neurodivergent people like me', published at 07:39 8 March",'I adapt clothes for neurodivergent people like me',London
02:34 8 March,"Diagnosed with arthritis at 24, she set out to hike... and change an unequal society, published at 02:34 8 March","Diagnosed with arthritis at 24, she set out to hike... and change an unequal society",Latin America
07:59 7 March,"Second cafe staffed by disabled workers to open, published at 07:59 7 March",Second cafe staffed by disabled workers to open,England
06:20 7 March,"Woman being 'evicted' from supported living home, say parents, published at 06:20 7 March","Woman being 'evicted' from supported living home, say parents",Northern Ireland
05:31 7 March,"'Neurodiverse music group saved me' - Billy Lockett , published at 05:31 7 March",'Neurodiverse music group saved me' - Billy Lockett,Northamptonshire
10:10 6 March,"Cinema offers subtitle glasses to deaf film fans, published at 10:10 6 March",Cinema offers subtitle glasses to deaf film fans,Kent
04:44 6 March,"Work coaches to focus on long-term unemployed, published at 04:44 6 March",Work coaches to focus on long-term unemployed,
17:10 4 March,"Disability snooker champion brings back gold, published at 17:10 4 March",Disability snooker champion brings back gold,South Yorkshire
12:50 4 March,"Charities team up to improve disability services, published at 12:50 4 March",Charities team up to improve disability services,Highlands & Islands
12:30 4 March,"Communication boards to help non-verbal visitors, published at 12:30 4 March",Communication boards to help non-verbal visitors,Dorset
11:09 4 March,"Boy taught 'in isolation' because of SEND issues, published at 11:09 4 March",Boy taught 'in isolation' because of SEND issues,Oxfordshire
06:10 4 March,"'Inaccessible rail station makes me feel terrible', published at 06:10 4 March",'Inaccessible rail station makes me feel terrible',Cornwall
20:28 3 March,"Woman normalising stomas picks wedding dress. Video, 00:00:55, published at 20:28 3 March",Woman normalising stomas picks wedding dress,Wales
20:27 3 March,"Shopping for a wedding dress with a stoma bag , published at 20:27 3 March",Shopping for a wedding dress with a stoma bag,Wales
06:02 3 March,"Watch: Guide dog puppies learn theatre etiquette. Video, 00:01:20, published at 06:02 3 March",Watch: Guide dog puppies learn theatre etiquette,London
09:41 2 March,"Guide dog kennel cat rules the roost, published at 09:41 2 March",Guide dog kennel cat rules the roost,Coventry & Warwickshire
07:59 1 March,"Wandsworth ready for year of culture celebrations, published at 07:59 1 March",Wandsworth ready for year of culture celebrations,London
07:40 1 March,"Paralympic swimmer aiming for triathlon record, published at 07:40 1 March",Paralympic swimmer aiming for triathlon record,Wear
12:09 28 February,"Snooker legend Davis surprises fans with visit, published at 12:09 28 February",Snooker legend Davis surprises fans with visit,Bristol
06:19 28 February,"'Learning to walk again after cancer treatment', published at 06:19 28 February",'Learning to walk again after cancer treatment',Somerset
05:58 28 February,"'Hearing loss surgery opened up the world again', published at 05:58 28 February",'Hearing loss surgery opened up the world again',London
12:24 27 February,"Accessible toilets installed at service stations, published at 12:24 27 February",Accessible toilets installed at service stations,Lancashire
09:46 27 February,"Paralympian 'shipbound' during nightmare cruise, published at 09:46 27 February",Paralympian 'shipbound' during nightmare cruise,South Yorkshire
05:52 27 February,"BBC reporter spent six hours on floor of accessible toilet, published at 05:52 27 February",BBC reporter spent six hours on floor of accessible toilet,Wales
23:02 26 February,"Accessible toilets 'out of order, dirty and unsafe' Video, 00:00:45, published at 23:02 26 February","Accessible toilets 'out of order, dirty and unsafe'",Wales
06:13 26 February,"'My emotional support cat has transformed my life', published at 06:13 26 February",'My emotional support cat has transformed my life',Lincolnshire
12:06 25 February,"Double amputee scales highest summit outside Asia, published at 12:06 25 February",Double amputee scales highest summit outside Asia,Kent
06:21 25 February,"Miniature horse 'in demand' after BBC award win, published at 06:21 25 February",Miniature horse 'in demand' after BBC award win,Dorset
06:14 25 February,"'Army only paid me £5k for my combat hearing loss', published at 06:14 25 February",'Army only paid me £5k for my combat hearing loss',Shropshire
06:05 25 February,"Travel changes reworked to boost disability access, published at 06:05 25 February",Travel changes reworked to boost disability access,Bristol
05:58 25 February,"Mum told to 'give up' career to care for daughters, published at 05:58 25 February",Mum told to 'give up' career to care for daughters,Wales
08:51 24 February,"Non-verbal autistic man shows off 'perfect' singing, published at 08:51 24 February",Non-verbal autistic man shows off 'perfect' singing,Manchester
06:15 24 February,"'My son inspired me to make comic cons inclusive', published at 06:15 24 February",'My son inspired me to make comic cons inclusive',England
19:58 23 February,"Inclusive tennis league unites players, published at 19:58 23 February",Inclusive tennis league unites players,Disability
07:17 23 February,"Call for views on learning disabilities framework, published at 07:17 23 February",Call for views on learning disabilities framework,Guernsey
06:06 23 February,"Send sports club a 'sanctuary' for mum and son, published at 06:06 23 February",Send sports club a 'sanctuary' for mum and son,Essex
05:52 23 February,"Wheelchair user adapts campervan to find 'freedom', published at 05:52 23 February",Wheelchair user adapts campervan to find 'freedom',Norfolk
05:47 23 February,"Museum to remain open five days a week , published at 05:47 23 February",Museum to remain open five days a week,Peterborough
11:06 22 February,"'I've seen one stoma-friendly toilet in six years', published at 11:06 22 February",'I've seen one stoma-friendly toilet in six years',Lincolnshire
07:13 22 February,"Man cycling length of Spain nears finish line, published at 07:13 22 February",Man cycling length of Spain nears finish line,Sussex
06:05 22 February,"Goalball championship held in England for first time, published at 06:05 22 February",Goalball championship held in England for first time,England
17:26 21 February,"Mum of boy kicked by teacher delivers CCTV petition, published at 17:26 21 February",Mum of boy kicked by teacher delivers CCTV petition,Wolverhampton
17:22 21 February,"'New station lifts mean I can finally explore', published at 17:22 21 February",'New station lifts mean I can finally explore',Shropshire
06:12 21 February,"Quadriplegic Countdown contestant hopes to inspire, published at 06:12 21 February",Quadriplegic Countdown contestant hopes to inspire,Shropshire
17:42 20 February,"Devon County Council raises tax by 4.99%, published at 17:42 20 February",Devon County Council raises tax by 4.99%,Devon
15:51 20 February,"Teenager in prison 'vicious circle' instead of care home, published at 15:51 20 February",Teenager in prison 'vicious circle' instead of care home,Northern Ireland
06:36 20 February,"Hotel turns away Paralympian because of wheelchair, published at 06:36 20 February",Hotel turns away Paralympian because of wheelchair,England
06:09 20 February,"Changes to transport for SEND children approved, published at 06:09 20 February",Changes to transport for SEND children approved,Bradford
06:09 19 February,"Hundreds of patients use app to aid hospital visits, published at 06:09 19 February",Hundreds of patients use app to aid hospital visits,Devon
19:19 18 February,"Communities minister introduces bill in sign language Video, 00:01:12, published at 19:19 18 February",Communities minister introduces bill in sign language,Northern Ireland Politics
17:33 18 February,"Man told not to jump in pool before death - inquest, published at 17:33 18 February",Man told not to jump in pool before death - inquest,Surrey
10:27 18 February,"Violinist determined to thrive despite disability, published at 10:27 18 February",Violinist determined to thrive despite disability,England
10:12 18 February,"Tea tent to offer quiet space on Liberation Day 80, published at 10:12 18 February",Tea tent to offer quiet space on Liberation Day 80,Guernsey
06:17 18 February,"School minibuses delayed until October, published at 06:17 18 February",School minibuses delayed until October,Lancashire
06:07 18 February,"Abandoned puppy becomes Crufts 'hero' finalist, published at 06:07 18 February",Abandoned puppy becomes Crufts 'hero' finalist,Kent
17:08 17 February,"Man died after carer 'landed on him' in pool - inquest, published at 17:08 17 February",Man died after carer 'landed on him' in pool - inquest,Surrey
06:06 17 February,"Libraries to share hidden stories of disability, published at 06:06 17 February",Libraries to share hidden stories of disability,"Beds, Herts & Bucks"
07:14 16 February,"'Motor trike helped me regain freedom after crash', published at 07:14 16 February",'Motor trike helped me regain freedom after crash',Kent
07:11 16 February,"Survey launched in bid to improve autism services, published at 07:11 16 February",Survey launched in bid to improve autism services,Guernsey
07:09 16 February,"Farm helps learning disabled adults find work, published at 07:09 16 February",Farm helps learning disabled adults find work,Birmingham & Black Country
01:23 16 February,"'I believe in my guide runner more than myself', says blind Indian athlete, published at 01:23 16 February","'I believe in my guide runner more than myself', says blind Indian athlete",Asia
07:36 15 February,"Down's syndrome manikin 'upping hospital's game', published at 07:36 15 February",Down's syndrome manikin 'upping hospital's game',Wiltshire
07:18 15 February,"Ice cream recipe quest for charity's 50th birthday , published at 07:18 15 February",Ice cream recipe quest for charity's 50th birthday,Jersey
07:14 15 February,"'I lost my sight but still watch my football team', published at 07:14 15 February",'I lost my sight but still watch my football team',Guernsey
07:12 15 February,"Feedback sought on disabled home adaptation grants, published at 07:12 15 February",Feedback sought on disabled home adaptation grants,Devon
07:12 15 February,"Sign language fitness class breaking down barriers. Video, 00:01:24, published at 07:12 15 February",Sign language fitness class breaking down barriers,Birmingham & Black Country
16:26 14 February,"Snooker player gets flight wheelchair go-ahead, published at 16:26 14 February",Snooker player gets flight wheelchair go-ahead,South Yorkshire
14:50 14 February,"Visually-impaired student challenges DSA failings, published at 14:50 14 February",Visually-impaired student challenges DSA failings,England
08:27 14 February,"'Housing crisis means I can't use my own bathroom', published at 08:27 14 February",'Housing crisis means I can't use my own bathroom',Tyne
13:49 13 February,"Petition over disabled people's bus pass cuts, published at 13:49 13 February",Petition over disabled people's bus pass cuts,Hampshire & Isle of Wight
06:26 13 February,"Family given compensation over EHC plan delays, published at 06:26 13 February",Family given compensation over EHC plan delays,North Yorkshire
15:07 12 February,"Families 'distressed' by special needs failures, published at 15:07 12 February",Families 'distressed' by special needs failures,Lancashire
14:08 12 February,"Hundreds turn out for dying guide dog's final walk, published at 14:08 12 February",Hundreds turn out for dying guide dog's final walk,Lancashire
06:19 12 February,"Mum worried about loss of classroom assistants, published at 06:19 12 February",Mum worried about loss of classroom assistants,Norfolk
16:23 11 February,"Teaching pioneer honoured with blue plaque, published at 16:23 11 February",Teaching pioneer honoured with blue plaque,Guernsey
14:12 11 February,"Bid to save day centres with election funds lost, published at 14:12 11 February",Bid to save day centres with election funds lost,Sussex
12:58 11 February,"Mum warns of danger of constipation after son dies, published at 12:58 11 February",Mum warns of danger of constipation after son dies,Suffolk
09:59 11 February,"Snooker player left waiting over aeroplane access, published at 09:59 11 February",Snooker player left waiting over aeroplane access,South Yorkshire
06:27 11 February,"'My hearing cockapoo stops me being anxious', published at 06:27 11 February",'My hearing cockapoo stops me being anxious',Coventry & Warwickshire
06:03 11 February,"'I have to shower at the gym' - disabled people wait for simple home changes, published at 06:03 11 February",'I have to shower at the gym' - disabled people wait for simple home changes,Disability
06:51 10 February,"Disabled toilet at hospital closes for upgrade, published at 06:51 10 February",Disabled toilet at hospital closes for upgrade,Isle of Man
06:29 10 February,"Sports group to mark decade of transforming lives, published at 06:29 10 February",Sports group to mark decade of transforming lives,Suffolk
09:27 9 February,"'Sight loss aids would help me vote independently', published at 09:27 9 February",'Sight loss aids would help me vote independently',Cumbria
08:06 9 February,"Disabled people share experience of accessible homes, published at 08:06 9 February",Disabled people share experience of accessible homes,London
08:01 9 February,"Disabled actor says skiing has brought back joy , published at 08:01 9 February",Disabled actor says skiing has brought back joy,"Beds, Herts & Bucks"
07:18 8 February,"'Where is this ringing in my ears coming from?', published at 07:18 8 February",'Where is this ringing in my ears coming from?',Hampshire & Isle of Wight
16:43 7 February,"Outdoor brand offers free adapted clothing scheme, published at 16:43 7 February",Outdoor brand offers free adapted clothing scheme,Wear
06:12 7 February,"Deaf pupil wins legal fight for BSL interpreter, published at 06:12 7 February",Deaf pupil wins legal fight for BSL interpreter,"Edinburgh, Fife & East"
16:13 6 February,"Tax up 5% as council warns on special needs costs, published at 16:13 6 February",Tax up 5% as council warns on special needs costs,Coventry & Warwickshire
07:05 6 February,"Students run their own cafe to prepare for work, published at 07:05 6 February",Students run their own cafe to prepare for work,Tees
18:39 5 February,"New golf scheme launched to help disabled children, published at 18:39 5 February",New golf scheme launched to help disabled children,Coventry & Warwickshire
13:26 5 February,"Disabled woman with service dog told to leave shop, published at 13:26 5 February",Disabled woman with service dog told to leave shop,England
07:15 5 February,"Blocked paths 'inaccessible' for wheelchair uses, published at 07:15 5 February",Blocked paths 'inaccessible' for wheelchair uses,Lincolnshire
06:10 5 February,"Special needs service mostly positive - report, published at 06:10 5 February",Special needs service mostly positive - report,"Beds, Herts & Bucks"
18:15 4 February,"Warner Bros conjures up accessible Hogwarts tour, published at 18:15 4 February",Warner Bros conjures up accessible Hogwarts tour,Disability
16:43 4 February,"Paralympic gold medallist opens Surrey Cancer Centre, published at 16:43 4 February",Paralympic gold medallist opens Surrey Cancer Centre,Surrey
15:16 4 February,"Major upgrades to accessibility at Surrey farm, published at 15:16 4 February",Major upgrades to accessibility at Surrey farm,Surrey
07:12 4 February,"Disabled snooker player 'blown away' by donations, published at 07:12 4 February",Disabled snooker player 'blown away' by donations,Norfolk
06:17 4 February,"Closure of 'lifeline' respite service put on hold, published at 06:17 4 February",Closure of 'lifeline' respite service put on hold,Somerset
11:50 3 February,"Care home provider 'washed its hands of residents', published at 11:50 3 February",Care home provider 'washed its hands of residents',Wiltshire
06:27 3 February,"Woman's job success after disability internship, published at 06:27 3 February",Woman's job success after disability internship,Shropshire
06:09 3 February,"Double amputee tests new prosthetics for next climb, published at 06:09 3 February",Double amputee tests new prosthetics for next climb,Kent
07:21 2 February,"Blind on a night out: 'You wouldn't recognise your attacker', published at 07:21 2 February",Blind on a night out: 'You wouldn't recognise your attacker',Northern Ireland
07:13 2 February,"Cooking oil recycling service gets fuel boost, published at 07:13 2 February",Cooking oil recycling service gets fuel boost,Jersey
08:13 1 February,"Café training people with learning disabilities. Video, 00:01:19, published at 08:13 1 February",Café training people with learning disabilities,London
07:27 1 February,"Model with cerebral palsy champions adaptive clothes, published at 07:27 1 February",Model with cerebral palsy champions adaptive clothes,Tyne
14:12 31 January,"Send report given to inquiry after community event, published at 14:12 31 January",Send report given to inquiry after community event,Northamptonshire
06:38 31 January,"Students interview 'inspirational' Paris athletes, published at 06:38 31 January",Students interview 'inspirational' Paris athletes,Northamptonshire
06:08 31 January,"'It's been a really joyful experience' Video, 00:01:24, published at 06:08 31 January",'It's been a really joyful experience',Northern Ireland
05:57 31 January,"Charity's desperate search for a new home, published at 05:57 31 January",Charity's desperate search for a new home,England
15:48 30 January,"Plans approved to create more Send school places, published at 15:48 30 January",Plans approved to create more Send school places,Surrey
12:44 30 January,"World number one player cannot afford snooker final, published at 12:44 30 January",World number one player cannot afford snooker final,Norfolk
11:27 30 January,"'Tony is thriving after years in institutional care' Video, 00:00:23, published at 11:27 30 January",'Tony is thriving after years in institutional care',Disability
09:40 30 January,"'Futsal really helps improve my mental health', published at 09:40 30 January",'Futsal really helps improve my mental health',Jersey
06:25 30 January,"Millions not spent on helping locked-in patients, published at 06:25 30 January",Millions not spent on helping locked-in patients,Scotland Politics
06:03 30 January,"'Care groups can't subside councils' duty of care', published at 06:03 30 January",'Care groups can't subside councils' duty of care',Sussex
19:26 28 January,"Judicial review begins over special needs bailout, published at 19:26 28 January",Judicial review begins over special needs bailout,Bristol
17:10 28 January,"Traitors fan-favourite inspires £46k charity gifts, published at 17:10 28 January",Traitors fan-favourite inspires £46k charity gifts,England
17:04 28 January,"Council taken to High Court in SEN funding row, published at 17:04 28 January",Council taken to High Court in SEN funding row,Devon
16:47 28 January,"'It's patronising to refuse adults a housing choice', published at 16:47 28 January",'It's patronising to refuse adults a housing choice',Wiltshire
11:24 28 January,"100 families appeal SEND council decisions , published at 11:24 28 January",100 families appeal SEND council decisions,Stoke & Staffordshire
06:18 28 January,"Special educational needs centre looking for home, published at 06:18 28 January",Special educational needs centre looking for home,Somerset
06:09 28 January,"'Life-changing' brewery given the go-ahead, published at 06:09 28 January",'Life-changing' brewery given the go-ahead,Berkshire
18:48 27 January,"Glamour model with dwarfism champions inclusivity. Video, 00:01:04, published at 18:48 27 January",Glamour model with dwarfism champions inclusivity,Gloucestershire
16:17 27 January,"Mother calls community Send meeting 'outstanding', published at 16:17 27 January",Mother calls community Send meeting 'outstanding',Northamptonshire
15:05 27 January,"How Traitors winner became 'proud of disability', published at 15:05 27 January",How Traitors winner became 'proud of disability',Cumbria
06:31 27 January,"Inclusive choir proves 'revolutionary' for singers, published at 06:31 27 January",Inclusive choir proves 'revolutionary' for singers,Birmingham & Black Country
06:27 27 January,"New SEND school plans backed after concerns raised, published at 06:27 27 January",New SEND school plans backed after concerns raised,England
06:16 27 January,"Woman who aided accessibility on Wicked 'honoured', published at 06:16 27 January",Woman who aided accessibility on Wicked 'honoured',"Beds, Herts & Bucks"
06:04 27 January,"Train firm launches learning disability roles, published at 06:04 27 January",Train firm launches learning disability roles,Hull & East Yorkshire
10:52 26 January,"Work begins on permanent gym for disabled children, published at 10:52 26 January",Work begins on permanent gym for disabled children,England
07:38 26 January,"New charity boosting confidence through cycling, published at 07:38 26 January",New charity boosting confidence through cycling,Suffolk
06:10 26 January,"Museum project puts disabled people at forefront, published at 06:10 26 January",Museum project puts disabled people at forefront,Cambridgeshire
11:56 25 January,"'Inspirational' student wins DofE Trailblazer prize, published at 11:56 25 January",'Inspirational' student wins DofE Trailblazer prize,"Beds, Herts & Bucks"
06:15 24 January,"No step-free access at station unacceptable - MP, published at 06:15 24 January",No step-free access at station unacceptable - MP,Birmingham & Black Country
06:07 24 January,"'Remarkable' man blinded by explosion graduates, published at 06:07 24 January",'Remarkable' man blinded by explosion graduates,Bristol
05:54 24 January,"'I'll feel lonely and lost' if centre for the deaf closes, published at 05:54 24 January",'I'll feel lonely and lost' if centre for the deaf closes,Hampshire & Isle of Wight
12:41 23 January,"Paralympian wants better cancer care for young people, published at 12:41 23 January",Paralympian wants better cancer care for young people,England
06:15 23 January,"Carers' despair at 'catastrophic' cuts to support, published at 06:15 23 January",Carers' despair at 'catastrophic' cuts to support,Somerset
06:10 23 January,"Peppa Pig World to charge disabled children's carers, published at 06:10 23 January",Peppa Pig World to charge disabled children's carers,Hampshire & Isle of Wight
06:09 23 January,"Views gathered on adult learning disability care, published at 06:09 23 January",Views gathered on adult learning disability care,Isle of Man
19:30 22 January,"Blind voters 'humiliated' by lack of support - MP, published at 19:30 22 January",Blind voters 'humiliated' by lack of support - MP,Cumbria
10:36 22 January,"Ointment appeal for disabled teen on 'last tube', published at 10:36 22 January",Ointment appeal for disabled teen on 'last tube',England
08:44 22 January,"Work begins to create new £3.8m youth centre, published at 08:44 22 January",Work begins to create new £3.8m youth centre,Wiltshire
06:21 22 January,"Strong progress in city's special needs services, published at 06:21 22 January",Strong progress in city's special needs services,Wolverhampton
06:07 22 January,"Disabled access home listed on Airbnb sparks anger, published at 06:07 22 January",Disabled access home listed on Airbnb sparks anger,London
06:06 22 January,"'Not getting help from TfL knocked my confidence', published at 06:06 22 January",'Not getting help from TfL knocked my confidence',London
06:00 22 January,"'My horse saved me after I lost my sight', published at 06:00 22 January",'My horse saved me after I lost my sight',Wales
15:20 21 January,"University project to build sign language AI model, published at 15:20 21 January",University project to build sign language AI model,Surrey
14:59 21 January,"Boy's day as mascot 'shows world slowly changing', published at 14:59 21 January",Boy's day as mascot 'shows world slowly changing',Coventry & Warwickshire
13:04 21 January,"Mother gets £18k for son's missed school years, published at 13:04 21 January",Mother gets £18k for son's missed school years,Kent
06:22 21 January,"'Having a hearing dog is like winning the lottery', published at 06:22 21 January",'Having a hearing dog is like winning the lottery',Essex
06:16 21 January,"Charity calls for volunteer puppy raisers, published at 06:16 21 January",Charity calls for volunteer puppy raisers,Hereford & Worcester
11:01 20 January,"More disabled parking spaces introduced near coast, published at 11:01 20 January",More disabled parking spaces introduced near coast,Guernsey
06:14 20 January,"County to welcome first ever Pride disability event, published at 06:14 20 January",County to welcome first ever Pride disability event,Suffolk
05:37 20 January,"'Worrying' fall in number of toilets, charity says, published at 05:37 20 January","'Worrying' fall in number of toilets, charity says",London
00:01 20 January,"Mum says school bus disruption 'intolerable' for autistic teen, published at 00:01 20 January",Mum says school bus disruption 'intolerable' for autistic teen,Northern Ireland
07:33 19 January,"EMR introduces accessibility maps for passengers, published at 07:33 19 January",EMR introduces accessibility maps for passengers,Nottinghamshire
06:21 19 January,"Trainee guide puppies board bus for first time, published at 06:21 19 January",Trainee guide puppies board bus for first time,Norfolk
06:20 19 January,"'My wheelchair gives me freedom I wouldn't have', published at 06:20 19 January",'My wheelchair gives me freedom I wouldn't have',Norfolk
11:21 18 January,"Panto's 'brilliant' initiative sees record sales, published at 11:21 18 January",Panto's 'brilliant' initiative sees record sales,South Yorkshire
06:22 18 January,"Paralympic gold medallist opens school building, published at 06:22 18 January",Paralympic gold medallist opens school building,Northamptonshire
16:34 17 January,"Thieves strip school minibuses for parts, published at 16:34 17 January",Thieves strip school minibuses for parts,Lancashire
15:40 17 January,"Parents of Send children 'screaming into a void', published at 15:40 17 January",Parents of Send children 'screaming into a void',Cornwall
06:25 17 January,"'We need more sport sessions for disabled people', published at 06:25 17 January",'We need more sport sessions for disabled people',Kent
06:24 17 January,"Lifesaving assistance dog honoured by university. Video, 00:01:32, published at 06:24 17 January",Lifesaving assistance dog honoured by university,Gloucestershire
14:53 16 January,"Special needs hub brings services under one roof, published at 14:53 16 January",Special needs hub brings services under one roof,Wolverhampton
12:03 16 January,"Special needs outcomes different across Sussex, published at 12:03 16 January",Special needs outcomes different across Sussex,Sussex
